################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.3377576886246069E-01 a       146     0    13     1     2
  1.5124685959578248E+00 a       147     0    13     1     3
  3.0192379004678199E-01 a       148     0    13     1     4
 -4.4114439536213240E-01 a       149     0    13     1     5
 -6.9787379537792060E-01 a       150     0    13     1     6
  7.3556150053148761E-01 a       151     0    13     1     7
 -3.3032122084922411E-01 a       152     0    13     1     8
  4.9755965182776696E-01 a       153     0    13     1     9
  2.2936849328300860E-01 a       154     0    13     1    10
  2.5576380551705594E-02 a       155     0    13     1    11
 -5.0175427904510450E-01 a       156     0    13     1    12
  3.6536678395133187E-01 a       157     0    14     1     1
  3.5819096271017309E-01 a       158     0    14     1     2
 -4.4768911449001503E-01 a       159     0    14     1     3
  6.6495015077377639E-01 a       160     0    14     1     4
 -2.8286020698332331E-01 a       161     0    14     1     5
 -1.0967911602524967E-01 a       162     0    14     1     6
 -6.7557042868021733E-01 a       163     0    14     1     7
 -6.7939908706658414E-01 a       164     0    14     1     8
 -6.1022864560047740E-01 a       165     0    14     1     9
  6.2505017435489779E-02 a       166     0    14     1    10
  7.7371498196105393E-02 a       167     0    14     1    11
 -8.0155567334705846E-01 a       168     0    14     1    12
 -3.7625592690791049E-01 a       169     0    15     1     1
  3.9933345897084499E-01 a       170     0    15     1     2
 -1.7878543850231989E+00 a       171     0    15     1     3
 -3.9600168734659774E-01 a       172     0    15     1     4
  1.9206458055289033E-01 a       173     0    15     1     5
 -4.5971762919799469E-01 a       174     0    15     1     6
 -8.0878088935270631E-01 a       175     0    15     1     7
  5.3874375152862641E-01 a       176     0    15     1     8
  1.8552928547429395E-01 a       177     0    15     1     9
  1.4900482411565191E-01 a       178     0    15     1    10
  7.7747833700901137E-01 a       179     0    15     1    11
 -9.3908120733296463E-02 a       180     0    15     1    12
 -5.7084843559772525E-01 a       181     0    16     1     1
  1.7861141871978556E-01 a       182     0    16     1     2
 -9.3270919230548521E-01 a       183     0    16     1     3
 -6.4562745292719137E-01 a       184     0    16     1     4
 -1.0907223060621203E+00 a       185     0    16     1     5
 -1.5107339956122423E+00 a       186     0    16     1     6
  2.1584736965556919E-01 a       187     0    16     1     7
 -1.7461007595138836E-01 a       188     0    16     1     8
 -5.8070585570090061E-01 a       189     0    16     1     9
 -6.7307371826002782E-01 a       190     0    16     1    10
  5.7790331386147764E-01 a       191     0    16     1    11
 -6.8110663548755135E-01 a       192     0    16     1    12
  3.7156412932391575E-01 a       193     0    17     1     1
  6.8991440453543562E-01 a       194     0    17     1     2
 -2.7887954467554588E+00 a       195     0    17     1     3
 -3.8680661842698449E-01 a       196     0    17     1     4
  5.0222105769618242E-01 a       197     0    17     1     5
  4.3202072662207824E-01 a       198     0    17     1     6
 -1.5578334230172799E+00 a       199     0    17     1     7
  4.0378587652419695E-01 a       200     0    17     1     8
 -6.6699019006512328E-01 a       201     0    17     1     9
 -2.5571379681788331E-01 a       202     0    17     1    10
  2.6162979910650352E-01 a       203     0    17     1    11
  5.9478858158727410E-01 a       204     0    17     1    12
 -7.1410505005129432E-01 a       205     0    18     1     1
 -3.3277211633930254E-01 a       206     0    18     1     2
 -7.9042428583250154E-02 a       207     0    18     1     3
 -9.6913890418297444E-01 a       208     0    18     1     4
 -7.0931345847843830E-01 a       209     0    18     1     5
 -7.9938330286795833E-01 a       210     0    18     1     6
  9.5024625196452650E-01 a       211     0    18     1     7
  2.4397637115158666E-01 a       212     0    18     1     8
  2.0464230821372231E-01 a       213     0    18     1     9
 -7.7143834646182674E-01 a       214     0    18     1    10
  5.6162618745259141E-01 a       215     0    18     1    11
  4.8370301632607315E-01 a       216     0    18     1    12
  3.8906623465642975E-01 a       217     0    19     1     1
  1.0641441121091128E-02 a       218     0    19     1     2
  3.1836692455188897E-01 a       219     0    19     1     3
  1.9274254371994529E-01 a       220     0    19     1     4
  1.4028805267159855E-01 a       221     0    19     1     5
  6.4647958043739240E-01 a       222     0    19     1     6
  2.4331471380073610E-01 a       223     0    19     1     7
 -4.7973937903386205E-01 a       224     0    19     1     8
 -5.3956611385944730E-01 a       225     0    19     1     9
 -1.5136503776635310E-01 a       226     0    19     1    10
 -5.8131729897297246E-01 a       227     0    19     1    11
  2.7979782683193033E-01 a       228     0    19     1    12
  3.2909918613473738E-01 a       229     0    20     1     1
 -1.0710471688762771E-01 a       230     0    20     1     2
  8.2260275638506952E-01 a       231     0    20     1     3
  2.1643177473439948E-01 a       232     0    20     1     4
  4.4935573400784451E-01 a       233     0    20     1     5
  8.2220689396533164E-01 a       234     0    20     1     6
  6.0331546144103887E-01 a       235     0    20     1     7
  4.1852421560540837E-01 a       236     0    20     1     8
  1.1542394318257332E+00 a       237     0    20     1     9
  7.2671721245212720E-02 a       238     0    20     1    10
 -2.2879207123064405E-01 a       239     0    20     1    11
  9.7676020624922755E-01 a       240     0    20     1    12
 -9.7833838954906424E-02 a       241     0    21     1     1
 -5.4282593482164399E-01 a       242     0    21     1     2
  2.8587007311835078E+00 a       243     0    21     1     3
  3.4580320193120034E-01 a       244     0    21     1     4
 -4.7627546455702396E-01 a       245     0    21     1     5
 -4.9656804347059998E-02 a       246     0    21     1     6
  1.6022823687930241E+00 a       247     0    21     1     7
 -6.3871007963252879E-01 a       248     0    21     1     8
  3.5452504990139894E-01 a       249     0    21     1     9
  2.8176039906891764E-01 a       250     0    21     1    10
 -7.9726318189612966E-01 a       251     0    21     1    11
 -3.2991312581894167E-01 a       252     0    21     1    12
  9.5214860390546840E-01 a       253     0    22     1     1
  8.1399523252518216E-02 a       254     0    22     1     2
  7.8043507050621941E-01 a       255     0    22     1     3
  7.9710982093299509E-01 a       256     0    22     1     4
  8.4004988601009012E-01 a       257     0    22     1     5
  9.9584137070395229E-01 a       258     0    22     1     6
 -1.8472785751305137E-01 a       259     0    22     1     7
 -1.6143663412504777E-01 a       260     0    22     1     8
  4.7904398374450036E-01 a       261     0    22     1     9
  5.1263072697588208E-01 a       262     0    22     1    10
 -7.7818937562227641E-01 a       263     0    22     1    11
  1.4091438237542345E-01 a       264     0    22     1    12
 -1.6266330986516936E-01 a       265     0    23     1     1
  1.4617748993832275E-01 a       266     0    23     1     2
  1.0435581375495842E+00 a       267     0    23     1     3
 -1.8708610422033789E-01 a       268     0    23     1     4
 -2.4877052474086375E-01 a       269     0    23     1     5
 -3.8384672376170026E-01 a       270     0    23     1     6
  2.6732264130590943E-02 a       271     0    23     1     7
  2.2521313156666006E-01 a       272     0    23     1     8
  3.1212523807224962E-01 a       273     0    23     1     9
 -3.0211465538401216E-02 a       274     0    23     1    10
  2.2149414455999918E-02 a       275     0    23     1    11
 -4.9450181648948065E-02 a       276     0    23     1    12
  2.0822266368521769E-01 a       277     0    24     1     1
  3.3594968963975758E-01 a       278     0    24     1     2
 -2.1744776613814693E-01 a       279     0    24     1     3
 -3.9276531733360476E-01 a       280     0    24     1     4
 -6.1811045466695407E-02 a       281     0    24     1     5
 -2.7188726851112327E-01 a       282     0    24     1     6
 -4.8437269446485609E-01 a       283     0    24     1     7
 -1.6550996361957585E-01 a       284     0    24     1     8
 -8.8236035874753260E-01 a       285     0    24     1     9
  6.4659514824225005E-03 a       286     0    24     1    10
 -2.3186329326526375E-01 a       287     0    24     1    11
 -6.8399881858274103E-01 a       288     0    24     1    12
  2.4757605541890448E-01 a       289     0    25     1     1
  5.0084445294508395E-01 a       290     0    25     1     2
 -1.7462851286953958E+00 a       291     0    25     1     3
 -4.3590626685916378E-01 a       292     0    25     1     4
  4.2434017361605025E-01 a       293     0    25     1     5
  2.8837115335908181E-01 a       294     0    25     1     6
 -1.1939726102918440E+00 a       295     0    25     1     7
  8.3931097955296863E-01 a       296     0    25     1     8
 -2.2318289043226872E-01 a       297     0    25     1     9
 -3.7251265897225461E-01 a       298     0    25     1    10
  4.4684200754114634E-01 a       299     0    25     1    11
  2.9632418034720587E-01 a       300     0    25     1    12
 -6.6524417417483250E-01 a       301     0    26     1     1
  5.2947060377492264E-02 a       302     0    26     1     2
 -4.5360363697825368E-01 a       303     0    26     1     3
 -9.1892529373362619E-01 a       304     0    26     1     4
 -5.8660470509206963E-01 a       305     0    26     1     5
 -3.9209342085940946E-01 a       306     0    26     1     6
  1.8654270176178814E-01 a       307     0    26     1     7
  7.4864405268467590E-02 a       308     0    26     1     8
 -6.1133076382100293E-01 a       309     0    26     1     9
  3.2936019150383453E-02 a       310     0    26     1    10
  4.3637364929752681E-01 a       311     0    26     1    11
 -1.3155683269876584E-01 a       312     0    26     1    12
  2.7968199870287674E-01 a       313     0    27     1     1
  2.6252282199786736E-01 a       314     0    27     1     2
 -8.0858614346157121E-01 a       315     0    27     1     3
 -4.8442577029490237E-02 a       316     0    27     1     4
  3.8620230647303166E-01 a       317     0    27     1     5
  2.0221399721151886E-01 a       318     0    27     1     6
 -3.1641480103506009E-01 a       319     0    27     1     7
  2.7603234765080814E-01 a       320     0    27     1     8
 -2.8239297754643033E-01 a       321     0    27     1     9
 -4.1057415491969623E-01 a       322     0    27     1    10
 -1.6628904051570187E-01 a       323     0    27     1    11
  3.7395311046038282E-01 a       324     0    27     1    12
 -7.6426312774116337E-02 a       325     0    28     1     1
 -2.0513927952401420E-01 a       326     0    28     1     2
 -1.9409808199191242E-01 a       327     0    28     1     3
  1.6290559165804047E-01 a       328     0    28     1     4
 -2.9173418118972549E-01 a       329     0    28     1     5
  3.6965262599140924E-01 a       330     0    28     1     6
  3.3227097259075905E-01 a       331     0    28     1     7
  1.3650704836301286E-01 a       332     0    28     1     8
  7.2801390252538775E-02 a       333     0    28     1     9
 -1.0541935167827657E-01 a       334     0    28     1    10
  2.2967220148536280E-02 a       335     0    28     1    11
  4.9609192783930933E-01 a       336     0    28     1    12
  1.5405388764973299E-01 a       337     0    29     1     1
 -1.0187883240358407E-01 a       338     0    29     1     2
  1.6358477811876354E-01 a       339     0    29     1     3
  1.9373695717759337E-01 a       340     0    29     1     4
 -1.8618952119950050E-01 a       341     0    29     1     5
  6.1820132441713353E-02 a       342     0    29     1     6
  4.1055423264201768E-01 a       343     0    29     1     7
 -2.2885281151075448E-01 a       344     0    29     1     8
  2.7857542641901484E-01 a       345     0    29     1     9
 -1.2001368285802647E-02 a       346     0    29     1    10
 -2.3218989253567970E-01 a       347     0    29     1    11
  1.8522015353427521E-01 a       348     0    29     1    12
  4.2459769953385457E-01 a       349     0    30     1     1
 -4.4163290152986111E-02 a       350     0    30     1     2
  1.0483208258554438E-01 a       351     0    30     1     3
 -1.6035903971843377E-02 a       352     0    30     1     4
 -2.1151431790867359E-01 a       353     0    30     1     5
  3.2328671025130490E-01 a       354     0    30     1     6
 -3.2232153419171405E-02 a       355     0    30     1     7
  9.3805398762068143E-02 a       356     0    30     1     8
 -1.9370596547649135E-02 a       357     0    30     1     9
 -4.7646881048804168E-01 a       358     0    30     1    10
  1.4208430199604882E-01 a       359     0    30     1    11
 -3.1616763831153478E-02 a       360     0    30     1    12
 -2.1901248351119290E-01 a       361     0    31     1     1
 -1.2508163672507716E-01 a       362     0    31     1     2
  4.3053352151878405E-01 a       363     0    31     1     3
  2.1401529017008911E-01 a       364     0    31     1     4
  8.5401070279218123E-03 a       365     0    31     1     5
  1.0213248317779212E-01 a       366     0    31     1     6
  5.4001142678207548E-01 a       367     0    31     1     7
 -2.3232451631345311E-01 a       368     0    31     1     8
  1.5192865902420488E-01 a       369     0    31     1     9
  1.6287365782581398E-01 a       370     0    31     1    10
 -1.6367201858504291E-01 a       371     0    31     1    11
  2.3561403801158531E-01 a       372     0    31     1    12
 -1.1508197034205955E-01 a       373     0    32     1     1
 -2.8408015534521858E-01 a       374     0    32     1     2
  1.4407444516306953E-01 a       375     0    32     1     3
 -1.7243303022115058E-01 a       376     0    32     1     4
  3.7760512062635428E-02 a       377     0    32     1     5
 -3.4641840940486363E-02 a       378     0    32     1     6
 -2.3504717340339792E-01 a       379     0    32     1     7
 -1.0475355377368432E-01 a       380     0    32     1     8
  6.0590443025882867E-01 a       381     0    32     1     9
  4.9356891025583105E-02 a       382     0    32     1    10
  5.6153033796287055E-04 a       383     0    32     1    11
  1.3976526962390032E-01 a       384     0    32     1    12
 -6.8984205852742175E-01 a       385     0    33     1     1
  2.8860772350805489E-02 a       386     0    33     1     2
  1.6761588299743095E+00 a       387     0    33     1     3
 -1.4306193302521417E-01 a       388     0    33     1     4
  1.3837301646290325E+00 a       389     0    33     1     5
  2.4661575449785964E+00 a       390     0    33     1     6
  3.0965461868695292E+00 a       391     0    33     1     7
  8.9863183014627357E-01 a       392     0    33     1     8
 -1.5844477086019570E+00 a       393     0    33     1     9
  1.9471907433193608E-01 a       394     0    33     1    10
 -1.1891094794146677E+00 a       395     0    33     1    11
  3.9651196105514980E-01 a       396     0    33     1    12
  1.0077185432252224E-01 a       397     0    34     1     1
  3.1854114399214789E-01 a       398     0    34     1     2
 -3.3034638468628669E-01 a       399     0    34     1     3
 -2.6767625366348824E-01 a       400     0    34     1     4
  4.5496195096322500E-01 a       401     0    34     1     5
 -5.3686393459009618E-01 a       402     0    34     1     6
  9.7201207495890551E-01 a       403     0    34     1     7
 -4.4555543568409781E-02 a       404     0    34     1     8
 -6.7039835584309329E-02 a       405     0    34     1     9
 -1.3296888092487745E-02 a       406     0    34     1    10
 -3.2403833713205471E-01 a       407     0    34     1    11
  6.6137731895908936E-01 a       408     0    34     1    12
 -1.9554145990030067E+00 a       409     0    35     1     1
  1.2525644332329644E+00 a       410     0    35     1     2
  7.1972455538091911E+00 a       411     0    35     1     3
  2.0902362655972682E+00 a       412     0    35     1     4
 -1.7967126453584994E+00 a       413     0    35     1     5
  2.8443510125161819E+00 a       414     0    35     1     6
  3.2861845524340838E+00 a       415     0    35     1     7
 -2.8272426459536217E+00 a       416     0    35     1     8
 -1.5809691619983768E+00 a       417     0    35     1     9
  4.7441753035658447E+00 a       418     0    35     1    10
 -3.2479785549661919E+00 a       419     0    35     1    11
 -2.7045774838537260E+00 a       420     0    35     1    12
  3.7182374415054142E+00 a       421     0    36     1     1
  5.7748269696657062E-01 a       422     0    36     1     2
  3.3848090263046475E+00 a       423     0    36     1     3
 -1.8968046776898295E+00 a       424     0    36     1     4
 -5.9363593749374184E+00 a       425     0    36     1     5
  5.5496334279414405E+00 a       426     0    36     1     6
  1.1831005574402591E-01 a       427     0    36     1     7
 -2.9945343772065693E+00 a       428     0    36     1     8
  3.2183322015938631E+00 a       429     0    36     1     9
  8.8601363887658657E-01 a       430     0    36     1    10
 -8.2039322191331876E-01 a       431     0    36     1    11
  1.5411758818573167E+00 a       432     0    36     1    12
  6.3020327625711164E-02 a       433     0    37     1     1
 -1.3147904363184864E-02 a       434     0    37     1     2
 -8.4197691526034424E-01 a       435     0    37     1     3
 -1.3712540113582841E-01 a       436     0    37     1     4
 -9.2963840655761451E-02 a       437     0    37     1     5
 -8.5621833380367240E-01 a       438     0    37     1     6
 -8.0887730540248082E-01 a       439     0    37     1     7
 -1.4846627338514934E-01 a       440     0    37     1     8
  5.9472560376972494E-01 a       441     0    37     1     9
 -4.6462201611581944E-01 a       442     0    37     1    10
  3.9444269975316543E-01 a       443     0    37     1    11
  6.9939577661986371E-02 a       444     0    37     1    12
  1.2021061079171520E-01 a       445     0    38     1     1
 -1.8152957697556316E-01 a       446     0    38     1     2
 -1.4925085316900477E-01 a       447     0    38     1     3
  1.8949290814623398E-01 a       448     0    38     1     4
  3.9520432968182084E-01 a       449     0    38     1     5
  1.9011211033909281E-01 a       450     0    38     1     6
 -9.3110508668519040E-02 a       451     0    38     1     7
  3.6373503065083113E-01 a       452     0    38     1     8
  4.8167365689010377E-03 a       453     0    38     1     9
  3.8379533546036876E-02 a       454     0    38     1    10
 -2.8882344320757031E-01 a       455     0    38     1    11
 -1.5313347854511852E-01 a       456     0    38     1    12
 -2.6061131216833247E-02 a       457     0    39     1     1
  1.4678177282698270E-02 a       458     0    39     1     2
 -6.4956748491563598E-01 a       459     0    39     1     3
 -1.3073111335891369E-01 a       460     0    39     1     4
 -2.5915751600235021E-01 a       461     0    39     1     5
 -3.7728464769839221E-01 a       462     0    39     1     6
 -5.5683998808740187E-01 a       463     0    39     1     7
 -7.6147971030745484E-02 a       464     0    39     1     8
  4.4625028506103526E-01 a       465     0    39     1     9
 -2.2286451082499598E-01 a       466     0    39     1    10
  1.7334697612042263E-01 a       467     0    39     1    11
  1.1964194027472849E-01 a       468     0    39     1    12
 -3.0910123420807487E-02 a       469     0    40     1     1
 -5.8865291997385397E-02 a       470     0    40     1     2
 -1.3870224383383029E-02 a       471     0    40     1     3
  1.3677153050390622E-01 a       472     0    40     1     4
  3.0703153358004176E-01 a       473     0    40     1     5
  1.5128241058022410E-02 a       474     0    40     1     6
 -8.6171638837281350E-02 a       475     0    40     1     7
  2.9369601084701352E-01 a       476     0    40     1     8
 -2.3027725117709294E-01 a       477     0    40     1     9
 -1.2817927628073131E-02 a       478     0    40     1    10
 -6.9753030743035918E-02 a       479     0    40     1    11
  5.2591867693391456E-02 a       480     0    40     1    12
  4.2841525421181623E-02 a       481     0    41     1     1
 -4.8998229505371138E-02 a       482     0    41     1     2
 -1.3877402120449966E-01 a       483     0    41     1     3
 -8.0403396135466515E-02 a       484     0    41     1     4
  8.3313512225788353E-02 a       485     0    41     1     5
 -3.7748078588485628E-01 a       486     0    41     1     6
 -2.1266178750854722E-01 a       487     0    41     1     7
  1.3346919054537404E-01 a       488     0    41     1     8
  2.8275594036319551E-01 a       489     0    41     1     9
 -2.6803361917670615E-01 a       490     0    41     1    10
  9.0463881787599343E-02 a       491     0    41     1    11
  2.6679446060337086E-01 a       492     0    41     1    12
 -2.4782479230046131E-02 a       493     0    42     1     1
 -1.7160554741537579E-01 a       494     0    42     1     2
 -4.4048410908380430E-02 a       495     0    42     1     3
  5.6551571879017264E-03 a       496     0    42     1     4
  1.4939411408584308E-01 a       497     0    42     1     5
  1.4320123561139156E-01 a       498     0    42     1     6
 -3.2380298037690484E-02 a       499     0    42     1     7
  7.6155105833775300E-02 a       500     0    42     1     8
 -1.0871265802036945E-01 a       501     0    42     1     9
  5.9602977427578960E-02 a       502     0    42     1    10
 -7.0704769348214916E-02 a       503     0    42     1    11
  1.4520412835742667E-04 a       504     0    42     1    12
  4.9566736895781845E-02 a       505     0    43     1     1
 -1.5259215672561910E-01 a       506     0    43     1     2
 -1.8355563051929927E-02 a       507     0    43     1     3
 -1.9775696443192695E-01 a       508     0    43     1     4
  2.9688092321282331E-03 a       509     0    43     1     5
 -1.0863014134235960E-02 a       510     0    43     1     6
 -7.5335230271977568E-02 a       511     0    43     1     7
  6.5136430328253192E-03 a       512     0    43     1     8
  1.2527130125693064E-01 a       513     0    43     1     9
 -4.4808394454858458E-02 a       514     0    43     1    10
  1.9038779201412354E-02 a       515     0    43     1    11
  2.3685317231464592E-01 a       516     0    43     1    12
 -2.2211471923425298E-02 a       517     0    44     1     1
 -1.6298512650238009E-01 a       518     0    44     1     2
  1.0738050043947250E-01 a       519     0    44     1     3
 -1.6773795749975570E-01 a       520     0    44     1     4
  2.4242526447159771E-01 a       521     0    44     1     5
  9.8993046034446447E-02 a       522     0    44     1     6
  1.4278577318315569E-01 a       523     0    44     1     7
 -4.9776378879149825E-02 a       524     0    44     1     8
  5.1458004448431759E-02 a       525     0    44     1     9
 -4.1911456995428420E-02 a       526     0    44     1    10
  4.7734218662335563E-02 a       527     0    44     1    11
 -1.6332817918380713E-01 a       528     0    44     1    12
  2.5120408333075037E-02 a       529     0    45     1     1
  5.6711335946141000E-02 a       530     0    45     1     2
  2.1892464775034781E-01 a       531     0    45     1     3
