################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.0124482130936402E-02 a         1     0     1     1     1
 -4.5605539026314298E-02 a         2     0     1     1     2
 -3.2776832415605300E-01 a         3     0     1     1     3
  2.4843535150019760E-01 a         4     0     1     1     4
 -4.3617073315014854E-01 a         5     0     1     1     5
 -2.8485077817389182E-01 a         6     0     1     1     6
 -6.8878120212506411E-01 a         7     0     1     1     7
 -4.1937905784653373E-01 a         8     0     1     1     8
  5.0930212077001291E-01 a         9     0     1     1     9
  1.2502909445736335E-01 a        10     0     1     1    10
  3.5035070082727227E-01 a        11     0     1     1    11
 -1.8245315607809487E-01 a        12     0     1     1    12
  4.5270747396025440E-01 a        13     0     2     1     1
 -1.6417058142438162E-01 a        14     0     2     1     2
 -7.5495108101583566E-02 a        15     0     2     1     3
 -1.4836162319988741E-01 a        16     0     2     1     4
 -1.1033859087492767E-01 a        17     0     2     1     5
  3.9027321394383341E-01 a        18     0     2     1     6
  9.8519603945803488E-02 a        19     0     2     1     7
 -2.5555766014919579E-01 a        20     0     2     1     8
  1.6541499578759014E-02 a        21     0     2     1     9
  1.5130928847465433E-01 a        22     0     2     1    10
 -2.2378940417661841E-01 a        23     0     2     1    11
  4.0755139971515603E-03 a        24     0     2     1    12
  1.2093141905727010E-01 a        25     0     3     1     1
  2.1026415542914922E-01 a        26     0     3     1     2
 -1.2320383972429257E-01 a        27     0     3     1     3
  2.1266440057090924E-01 a        28     0     3     1     4
 -2.0347836312481885E-01 a        29     0     3     1     5
 -3.6066426447796590E-01 a        30     0     3     1     6
 -1.6053287931982979E-01 a        31     0     3     1     7
 -7.6276639268432297E-02 a        32     0     3     1     8
  3.4525557676128754E-01 a        33     0     3     1     9
  1.9495652791824489E-01 a        34     0     3     1    10
  2.0505119582468073E-02 a        35     0     3     1    11
 -9.3383837988080642E-02 a        36     0     3     1    12
  3.3291603880393789E-01 a        37     0     4     1     1
 -3.4637902493939360E-02 a        38     0     4     1     2
 -4.7365756551847084E-02 a        39     0     4     1     3
 -1.5029564599672401E-01 a        40     0     4     1     4
 -1.3289816651897474E-01 a        41     0     4     1     5
  2.8126872631978750E-01 a        42     0     4     1     6
  2.7648192593749187E-02 a        43     0     4     1     7
 -1.8140532119613514E-01 a        44     0     4     1     8
 -9.2068902942683287E-02 a        45     0     4     1     9
  2.7217957783993357E-01 a        46     0     4     1    10
 -7.0825241865707170E-02 a        47     0     4     1    11
  2.1919049057949141E-01 a        48     0     4     1    12
 -7.3702788817867106E-03 a        49     0     5     1     1
 -4.5507381136217967E-02 a        50     0     5     1     2
  1.0714703883835618E-01 a        51     0     5     1     3
  1.7566378331921845E-01 a        52     0     5     1     4
 -6.5725700486070640E-02 a        53     0     5     1     5
 -1.5337874956093880E-01 a        54     0     5     1     6
  7.1971194650832640E-02 a        55     0     5     1     7
 -5.4153511417509057E-02 a        56     0     5     1     8
  4.3306111226470198E-02 a        57     0     5     1     9
 -1.6133777938777853E-02 a        58     0     5     1    10
  8.6033597083606778E-02 a        59     0     5     1    11
 -1.3525476203069511E-01 a        60     0     5     1    12
  3.0279924975327960E-01 a        61     0     6     1     1
 -4.5116638109679183E-02 a        62     0     6     1     2
  1.3565722697793203E-01 a        63     0     6     1     3
 -1.4001023856191869E-02 a        64     0     6     1     4
 -9.4897345575527203E-02 a        65     0     6     1     5
  2.2622145906452110E-01 a        66     0     6     1     6
 -3.3977944907130596E-02 a        67     0     6     1     7
  3.0729785996284195E-03 a        68     0     6     1     8
  1.6395268506104779E-01 a        69     0     6     1     9
  1.7803528102496333E-01 a        70     0     6     1    10
 -1.7939105415198611E-01 a        71     0     6     1    11
  1.3708874133395596E-01 a        72     0     6     1    12
  2.3260376705716837E-01 a        73     0     7     1     1
 -1.2411569929844012E-02 a        74     0     7     1     2
  3.7665054634272760E-01 a        75     0     7     1     3
 -6.1855828952365362E-02 a        76     0     7     1     4
 -1.9509929382435995E-01 a        77     0     7     1     5
 -8.3395792272868807E-02 a        78     0     7     1     6
  1.6742590632414564E-01 a        79     0     7     1     7
  1.9887955615867453E-02 a        80     0     7     1     8
 -9.3522717365268668E-02 a        81     0     7     1     9
 -1.0626967472478245E-01 a        82     0     7     1    10
  4.8147126175395200E-03 a        83     0     7     1    11
  9.9863875489619058E-02 a        84     0     7     1    12
  2.0650333512282112E-01 a        85     0     8     1     1
  2.8521042432920047E-02 a        86     0     8     1     2
  2.1291969433288296E-01 a        87     0     8     1     3
 -1.9881325355206255E-02 a        88     0     8     1     4
  1.0990735181805784E-01 a        89     0     8     1     5
  9.3132747681068301E-02 a        90     0     8     1     6
  7.7197283793432894E-02 a        91     0     8     1     7
 -1.1525032006453252E-01 a        92     0     8     1     8
 -6.4422476932048459E-02 a        93     0     8     1     9
  1.4186714725549501E-01 a        94     0     8     1    10
 -5.8333624120753678E-02 a        95     0     8     1    11
  1.4576108737219776E-01 a        96     0     8     1    12
  1.1564931362860921E-01 a        97     0     9     1     1
  1.1051552254585925E-01 a        98     0     9     1     2
  3.9917478769145864E-01 a        99     0     9     1     3
  2.2600641395489757E-02 a       100     0     9     1     4
  1.3831150055419553E-01 a       101     0     9     1     5
  1.7157063257593017E-01 a       102     0     9     1     6
  2.2429197565944314E-01 a       103     0     9     1     7
  1.5546091157315306E-01 a       104     0     9     1     8
  6.9056964743228560E-02 a       105     0     9     1     9
 -1.1689570520559382E-01 a       106     0     9     1    10
 -2.9542235367603165E-01 a       107     0     9     1    11
 -4.1549617011209260E-02 a       108     0     9     1    12
  1.4319325646600436E-01 a       109     0    10     1     1
 -8.1776561477440210E-02 a       110     0    10     1     2
  1.7955160071017390E-01 a       111     0    10     1     3
  6.2231717021011948E-02 a       112     0    10     1     4
  2.4891520352509167E-01 a       113     0    10     1     5
  2.9573741848347468E-01 a       114     0    10     1     6
 -9.1259436490758100E-02 a       115     0    10     1     7
  1.2788372791020364E-01 a       116     0    10     1     8
  5.8886176164305269E-02 a       117     0    10     1     9
  2.4915294470880169E-02 a       118     0    10     1    10
 -2.3198833281647163E-01 a       119     0    10     1    11
  8.2651930501812729E-02 a       120     0    10     1    12
 -3.8884956487645186E-02 a       121     0    11     1     1
  2.2350928596377429E-02 a       122     0    11     1     2
  6.0414487673881367E-01 a       123     0    11     1     3
  3.8585333288350801E-02 a       124     0    11     1     4
 -1.8980872860221851E-02 a       125     0    11     1     5
  3.7541476290949644E-02 a       126     0    11     1     6
  3.4087569406974216E-01 a       127     0    11     1     7
  1.1812620521313733E-01 a       128     0    11     1     8
  1.4066446810194134E-02 a       129     0    11     1     9
  1.4022967117811988E-01 a       130     0    11     1    10
 -8.8999792278599513E-02 a       131     0    11     1    11
 -4.7770895681064299E-03 a       132     0    11     1    12
  5.4401246871654201E-02 a       133     0    12     1     1
  1.6328896736204287E-02 a       134     0    12     1     2
  2.2358789795595060E-01 a       135     0    12     1     3
 -9.6305861780553920E-02 a       136     0    12     1     4
  2.0148317821314710E-01 a       137     0    12     1     5
  2.7300325061087527E-01 a       138     0    12     1     6
  8.6361298282175938E-02 a       139     0    12     1     7
  1.3457841855599512E-01 a       140     0    12     1     8
  6.7564924817629643E-02 a       141     0    12     1     9
 -7.0157542174594870E-02 a       142     0    12     1    10
 -2.8909959689672846E-02 a       143     0    12     1    11
  5.3687169761646503E-02 a       144     0    12     1    12
 -4.2990563154653189E-01 a       145     0    13     1     1
