################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         56   0.0000000000000000E+00   2.3254651050707675E-01   1.1521314304930356E-03   5.6360039983079811E-03
         1         57   8.5874810852593451E-19   4.3213061648387269E-01   2.0037792542781672E-02   1.4976132488549636E-02
         1         58   0.0000000000000000E+00   9.9025993607579976E-01   8.3341078169033005E-03   3.2940367143465994E-02
         1         59   2.4641960177633134E-16   1.3979594281894723E+00   1.2916710268547230E-01   7.2878354334441425E-02
         1         60   0.0000000000000000E+00   2.9315368578339229E+00   4.1253864793123943E-02   1.3281279119088599E-01
         1         61   4.5666137728617880E-14   2.9114367075527143E+00   5.6620244894381411E-01   2.5347552618522567E-01
         1         62   0.0000000000000000E+00   6.0297224439364880E+00   1.4062214605579867E-01   3.7743716790557957E-01
         1         63   5.4522559469984917E-12   5.3160250122672741E+00   1.6918704096559694E+00   6.4519979015875295E-01
         1         64   0.0000000000000000E+00   9.0071641214145561E+00   3.3287699020994399E-01   7.7432745574854178E-01
         1         65   4.2107773174392868E-10   7.6512255841852523E+00   3.4712244720649328E+00   1.2087480979713505E+00
         1         66   0.0000000000000000E+00   1.0369239467979364E+01   5.5672558979150089E-01   1.1773878170064942E+00
         1         67   2.1001599829391802E-08   8.2157007165161620E+00   4.9554921733273902E+00   1.6181461213691957E+00
         1         68   0.0000000000000000E+00   9.4605487820657572E+00   6.7915968562538254E-01   1.3687449738521491E+00
         1         69   6.7898697633644547E-07   7.8250020786686774E+00   5.0817366829868496E+00   1.5164364913811279E+00
         1         70   0.0000000000000000E+00   7.9836144426604632E+00   6.4387794041967339E-01   1.2844964674779504E+00
         1         71   1.4218082674174612E-05   7.1317243562811310E+00   4.0388488683069159E+00   1.0778947252186037E+00
         1         72   0.0000000000000000E+00   7.8548619402760389E+00   5.3083578562345590E-01   1.0776910735764125E+00
         1         73   1.9349857085959227E-04   5.8879744142673784E+00   2.9144198008161131E+00   7.4509225985311589E-01
         1         74   0.0000000000000000E+00   8.6269374613026208E+00   4.3715952262106633E-01   9.2170254977499166E-01
         1         75   1.7114238499571417E-03   4.7467565930640268E+00   2.3119469844502887E+00   5.9579944033528887E-01
         1         76   0.0000000000000000E+00   8.2798777049693069E+00   3.8359303793388411E-01   8.3538081673977915E-01
         1         77   5.8951428153845714E-03   4.2901662198500041E+00   2.0933231375639711E+00   5.6468449319727509E-01
         1         78   0.0000000000000000E+00   7.1606883018911605E+00   3.4202791687605411E-01   7.4447914565249773E-01
         1         79   4.9431196279618459E-03   4.0411579710474808E+00   1.9395449334600150E+00   5.6637183698849514E-01
         1         80   0.0000000000000000E+00   5.4253435325449022E+00   2.8869015165003520E-01   6.1239385822846149E-01
         1         81   5.4974812147745820E-03   3.1774191555440434E+00   1.6407567908792917E+00   5.1586143644290217E-01
         1         82   0.0000000000000000E+00   3.4048343619069152E+00   2.2060114328545000E-01   4.5386197686481589E-01
         1         83   3.6745139805372394E-03   2.0714859752276147E+00   1.1707138929175980E+00   3.7383332621131071E-01
         1         84   0.0000000000000000E+00   2.2177575062819850E+00   1.4860368469778582E-01   2.9906264502197594E-01
         1         85   1.7016852502342525E-03   1.1146289786934960E+00   6.7770784147695162E-01   2.0211715199551580E-01
         1         86   0.0000000000000000E+00   1.3234789115944590E+00   8.6194452210291608E-02   1.7185934327490779E-01
         1         87   1.4668263518522280E-03   5.2922772029481790E-01   3.1634635859386218E-01   8.5708332359159992E-02
         1         88   0.0000000000000000E+00   6.8288209167028646E-01   4.1959011582413733E-02   8.3879750079763879E-02
         1         89   2.8560364775849179E-01   1.5278967469312725E+01   9.7522581103182642E+00   2.5858973222074710E+00
         1         90   0.0000000000000000E+00   2.1844733949579165E+01   1.4326009329904132E+00   2.9199282566788409E+00
         1         91   2.0572162548313158E-01   1.3284601882611316E+01   8.4202100090987475E+00   2.2466068725341346E+00
         1         92   0.0000000000000000E+00   1.9138952159139727E+01   1.2422547760437881E+00   2.5362638514325337E+00
         1         93   1.2436633487371794E-01   1.0866982060376785E+01   6.7939847683553438E+00   1.8315177562981355E+00
         1         94   0.0000000000000000E+00   1.5797307018730478E+01   1.0091212707247166E+00   2.0661785514053972E+00
         1         95   5.7602489994923151E-02   8.2351074382414673E+00   5.0010675108186975E+00   1.3717666257591172E+00
         1         96   0.0000000000000000E+00   1.2086867554350807E+01   7.5083198954679475E-01   1.5449710592708865E+00
         1         97   1.7831977161106460E-02   5.6599390120591835E+00   3.2631863359256270E+00   9.2118871924895518E-01
         1         98   0.0000000000000000E+00   8.5068182176043212E+00   4.9866747146860446E-01   1.0353009289364576E+00
         1         99   3.0011575920946870E-03   3.4446647241946096E+00   1.8138879424903693E+00   5.3567917047855784E-01
         1        100   0.0000000000000000E+00   5.4266311368716194E+00   2.8603387228781441E-01   6.0394452875733096E-01
         1        101   2.0031573208195789E-04   1.7705266896423908E+00   8.0243401485901156E-01   2.5285346681818444E-01
         1        102   0.0000000000000000E+00   3.0813197001482870E+00   1.3432514343054822E-01   2.9326352717957899E-01
         1        103   3.2368218660016284E-06   6.9252219284686367E-01   2.5033467605567694E-01   8.6461353523144005E-02
         1        104   0.0000000000000000E+00   1.4557443478170040E+00   4.6954834572060677E-02   1.0970395037464464E-01
         1        105   2.3008644594040659E-18   4.9280426029990734E-02   1.6135954059947042E-03   1.3677829500244086E-03
         1        106   0.0000000000000000E+00   1.2618081269309595E-01   7.5220247864093309E-04   3.3293673120317869E-03
         1        107   6.8050308499562020E-16   2.8083843095770589E-01   1.6923646669563475E-02   1.0914939101782791E-02
         1        108   0.0000000000000000E+00   6.4377092326887986E-01   6.1957709464297321E-03   2.2673322376570069E-02
         1        109   1.2980360587819213E-13   1.0555598977811640E+00   1.1907646392645187E-01   6.0456672860920616E-02
         1        110   0.0000000000000000E+00   2.2330838664273256E+00   3.4524853110340183E-02   1.0550802298861781E-01
         1        111   1.5988580605760143E-11   2.5513739357771636E+00   5.6331747679455368E-01   2.3613820146726625E-01
         1        112   0.0000000000000000E+00   5.3628578515738097E+00   1.3089689678008867E-01   3.4139885238475082E-01
         1        113   1.2726947597363380E-09   5.2645875062084748E+00   1.7984940969257728E+00   6.6047748894970171E-01
         1        114   0.0000000000000000E+00   8.9577434170465224E+00   3.4082834830289743E-01   7.8421413540036622E-01
         1        115   6.5532400960191430E-08   8.2681936779300553E+00   3.9045913822226805E+00   1.3182679647952882E+00
         1        116   0.0000000000000000E+00   1.1471244491348633E+01   6.2011907800254262E-01   1.3104032991962078E+00
         1        117   2.1850801030247668E-06   9.5239885290004107E+00   5.8599081132195421E+00   1.8392825345794985E+00
         1        118   0.0000000000000000E+00   1.1535703736765084E+01   8.1590899043961640E-01   1.6487721408924634E+00
         1        119   4.7234015083678219E-05   9.3217699907624638E+00   6.3223021542316928E+00   1.7985361402367603E+00
         1        120   0.0000000000000000E+00   1.0123567066239017E+01   8.3187679945949222E-01   1.6639943030478210E+00
         1        121   6.6275207277916308E-04   8.9457864907155447E+00   5.3911980918534601E+00   1.3734625412603716E+00
         1        122   0.0000000000000000E+00   1.1744761044273261E+01   7.4318000491518876E-01   1.5126134691785644E+00
         1        123   6.0474108595912623E-03   7.8966576901002012E+00   4.3709762457987242E+00   1.0619658852304688E+00
         1        124   0.0000000000000000E+00   1.2631963065516066E+01   6.7018952877372084E-01   1.4109993714454498E+00
         1        125   3.0743604304479477E-02   7.3975044862511377E+00   4.0258718898449271E+00   1.0136012409498243E+00
         1        126   0.0000000000000000E+00   1.2421905936500261E+01   6.3980966562689390E-01   1.3691512750391546E+00
         1        127   4.1024460335878581E-02   7.8718665959236587E+00   4.0975447918294590E+00   1.1318813541261212E+00
         1        128   0.0000000000000000E+00   1.1064289426718382E+01   6.0944439351234925E-01   1.2828855935386299E+00
         1        129   3.9914381065791059E-02   7.1502967527194912E+00   3.9805087163095974E+00   1.1758742588326556E+00
         1        130   0.0000000000000000E+00   8.2921074219540216E+00   5.4296387090933418E-01   1.1109951710998180E+00
         1        131   5.0455142806255807E-02   5.4962311988781041E+00   3.3454891063423040E+00   9.7671336461504421E-01
         1        132   0.0000000000000000E+00   6.6152687178451934E+00   4.3785032114185091E-01   8.7843813063469067E-01
         1        133   5.1737048964735612E-02   3.6620695553549747E+00   2.3666597734522434E+00   6.3864546863458815E-01
         1        134   0.0000000000000000E+00   4.8399448354264063E+00   3.1470257823167230E-01   6.2886299145556412E-01
         1        135   3.5655964974603861E-02   2.1814882133094766E+00   1.4317945173322666E+00   3.5882210976479040E-01
         1        136   0.0000000000000000E+00   3.2373904971230831E+00   1.9921048154809010E-01   4.0176179221057085E-01
         1        137   2.8064718008283616E-02   1.1847683135039968E+00   7.5620327170696888E-01   1.8522091654933837E-01
         1        138   0.0000000000000000E+00   1.8397600465208483E+00   1.0931373623333687E-01   2.2374950201184643E-01
         1        139   1.1631170268284585E-02   5.6139234149679684E-01   3.4597274029706621E-01   8.7761478523999500E-02
         1        140   0.0000000000000000E+00   8.7308403080753050E-01   5.0763774587022602E-02   1.0521006781971831E-01
         1        141   0.0000000000000000E+00   2.3757797668186509E+00   5.8744899802653761E-01   3.1188651740206058E-01
         1        142   0.0000000000000000E+00   3.6843570258380978E+00   9.8435556187391804E-02   2.1232512366977255E-01
         1        143   0.0000000000000000E+00   3.6843570258380978E+00   9.8435556187391804E-02   2.1232512366977255E-01
         1        144   0.0000000000000000E+00   5.9827724419850901E+00   1.6989702373887403E+00   8.8550145456025153E-01
         1        145   0.0000000000000000E+00   1.0223420961252319E+01   2.9777265179185186E-01   6.2043287007457126E-01
         1        146   0.0000000000000000E+00   1.0223420961252319E+01   2.9777265179185186E-01   6.2043287007457126E-01
         1        147   0.0000000000000000E+00   8.7737493663405774E-01   1.8252029380440959E-01   9.9820366307084352E-02
         1        148   0.0000000000000000E+00   1.6020277823091624E+00   3.1709015713711049E-02   7.4415640251106752E-02
         1        149   0.0000000000000000E+00   1.6020277823091624E+00   3.1709015713711049E-02   7.4415640251106752E-02
         1        150   0.0000000000000000E+00   4.4843676118004971E+00   1.2940415331666137E+00   6.7333516894640277E-01
         1        151   0.0000000000000000E+00   8.0410723386057192E+00   2.3104611131817140E-01   4.8222132013273206E-01
         1        152   0.0000000000000000E+00   8.0410723386057192E+00   2.3104611131817140E-01   4.8222132013273206E-01
         1        153   0.0000000000000000E+00   2.3912534902376167E-01   3.2085005607357435E-02   2.0257456204155411E-02
         1        154   0.0000000000000000E+00   6.0705078008779889E-01   6.6052128288986121E-03   2.0099885903018949E-02
         1        155   0.0000000000000000E+00   6.0705078008779889E-01   6.6052128288986121E-03   2.0099885903018949E-02
         1        156   0.0000000000000000E+00   2.7269184793660521E+00   7.8624322518375445E-01   4.0802288535394421E-01
         1        157   0.0000000000000000E+00   5.3012796994275933E+00   1.4709720134720924E-01   3.1115604555111859E-01
         1        158   0.0000000000000000E+00   5.3012796994275933E+00   1.4709720134720924E-01   3.1115604555111859E-01
         1        159   6.4026281359986167E-07   6.6268199382713524E+00   2.0114740038173058E+00   9.8334742951841148E-01
         1        160   0.0000000000000000E+00   9.2632773821056063E+00   3.2405190575211701E-01   6.4187312780980366E-01
         1        161   0.0000000000000000E+00   9.2632773821056063E+00   3.2405190575211701E-01   6.4187312780980366E-01
         1        162   2.7222943522944659E-06   1.6218605855655628E+01   5.6490253798742289E+00   2.7034093696229649E+00
         1        163   0.0000000000000000E+00   2.4283592021110302E+01   9.4860792530838456E-01   1.8294919164281647E+00
         1        164   0.0000000000000000E+00   2.4283592021110302E+01   9.4860792530838456E-01   1.8294919164281647E+00
         1        165   1.5046033422180366E-07   2.8062746383092567E+00   7.2984632165629926E-01   3.7107192537745215E-01
         1        166   0.0000000000000000E+00   4.3234087699775561E+00   1.1950675803066470E-01   2.5007456778131093E-01
         1        167   0.0000000000000000E+00   4.3234087699775561E+00   1.1950675803066470E-01   2.5007456778131093E-01
         1        168   2.0202944204599317E-06   1.2444238928414782E+01   4.3673976977132165E+00   2.0907366800423355E+00
         1        169   0.0000000000000000E+00   1.9244433507312973E+01   7.4406277758693362E-01   1.4371241119573248E+00
         1        170   0.0000000000000000E+00   1.9244433507312973E+01   7.4406277758693362E-01   1.4371241119573248E+00
         1        171   1.9894921073313677E-09   1.0148505607749700E+00   1.9946952976159044E-01   1.1245001532397338E-01
         1        172   0.0000000000000000E+00   1.7383357390947189E+00   3.4623368918389227E-02   8.1965847557070759E-02
         1        173   0.0000000000000000E+00   1.7383357390947189E+00   3.4623368918389227E-02   8.1965847557070759E-02
         1        174   1.1247801017254720E-06   8.1768241361166947E+00   2.8088379734197124E+00   1.3499474735575294E+00
         1        175   0.0000000000000000E+00   1.3554790310564714E+01   4.9440427783285201E-01   9.6428335532275788E-01
         1        176   0.0000000000000000E+00   1.3554790310564714E+01   4.9440427783285201E-01   9.6428335532275788E-01
         1        177   1.1753676338065942E-13   3.6928807269192288E-01   5.4084190881412766E-02   3.4577942848274479E-02
         1        178   0.0000000000000000E+00   7.7014753275346914E-01   1.0328401361971488E-02   2.8847476469987806E-02
         1        179   0.0000000000000000E+00   7.7014753275346914E-01   1.0328401361971488E-02   2.8847476469987806E-02
         1        180   3.6819463418684588E-07   4.2231647218296322E+00   1.3695858351668413E+00   6.6629628073821201E-01
         1        181   0.0000000000000000E+00   7.9040167773020817E+00   2.5741924996762999E-01   5.1792821147226653E-01
         1        182   0.0000000000000000E+00   7.9040167773020817E+00   2.5741924996762999E-01   5.1792821147226653E-01
