################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.2133524859129181E-01 a       117     0    10     1     9
 -2.6104582473120930E-01 a       118     0    10     1    10
  1.9025668243758867E-01 a       119     0    10     1    11
  6.1558069961611769E-02 a       120     0    10     1    12
  8.4126464351175712E-02 a       121     0    11     1     1
  1.0193617540079661E-01 a       122     0    11     1     2
  5.1775159764105205E-01 a       123     0    11     1     3
 -6.7894787377099156E-02 a       124     0    11     1     4
 -5.0873887572474338E-02 a       125     0    11     1     5
 -2.2904946327963152E-01 a       126     0    11     1     6
 -5.6636135292657382E-02 a       127     0    11     1     7
  8.4214937514749174E-03 a       128     0    11     1     8
  5.4977054772248048E-02 a       129     0    11     1     9
 -6.6864102162194836E-02 a       130     0    11     1    10
 -6.9953458826997966E-02 a       131     0    11     1    11
  1.6160192708618890E-01 a       132     0    11     1    12
 -2.2792653609601157E-01 a       133     0    12     1     1
  8.3930049031430087E-02 a       134     0    12     1     2
  7.5247008233838342E-02 a       135     0    12     1     3
  2.8886886138713878E-02 a       136     0    12     1     4
 -1.5010059318063157E-01 a       137     0    12     1     5
 -4.4243857427737965E-01 a       138     0    12     1     6
  1.4660039001557121E-01 a       139     0    12     1     7
  2.0957056878850866E-01 a       140     0    12     1     8
 -2.4977421689000937E-01 a       141     0    12     1     9
 -3.6760353688552755E-01 a       142     0    12     1    10
 -2.8958341540808428E-02 a       143     0    12     1    11
  3.2128024316619430E-01 a       144     0    12     1    12
  2.8574064192707394E-01 a       145     0    13     1     1
 -3.5743511167160436E-01 a       146     0    13     1     2
  7.2528419802053512E-01 a       147     0    13     1     3
  1.7292912098603885E+00 a       148     0    13     1     4
 -7.3448978605423765E-01 a       149     0    13     1     5
 -3.3622023605630474E-01 a       150     0    13     1     6
  1.3014753668497372E+00 a       151     0    13     1     7
 -4.3711716778338856E-02 a       152     0    13     1     8
  4.2692211880906888E-01 a       153     0    13     1     9
  6.5129886122739988E-01 a       154     0    13     1    10
 -9.0357662192171151E-01 a       155     0    13     1    11
 -2.0017026863427800E-01 a       156     0    13     1    12
  8.7346074632006687E-01 a       157     0    14     1     1
 -2.9034178512713554E-01 a       158     0    14     1     2
  5.1728496706860094E-01 a       159     0    14     1     3
  1.3843254441339278E-01 a       160     0    14     1     4
 -4.9500399994012156E-01 a       161     0    14     1     5
  6.4718643033893186E-01 a       162     0    14     1     6
 -7.5850755134166203E-01 a       163     0    14     1     7
 -9.5410962966717250E-01 a       164     0    14     1     8
  1.6299135245684084E+00 a       165     0    14     1     9
  5.2411823886583597E-01 a       166     0    14     1    10
 -6.0201200804312271E-01 a       167     0    14     1    11
 -1.4545303436333261E+00 a       168     0    14     1    12
 -1.2129453982511899E-01 a       169     0    15     1     1
 -5.0087119225737620E-01 a       170     0    15     1     2
  1.0641425091904817E+00 a       171     0    15     1     3
  6.8660533090665299E-01 a       172     0    15     1     4
 -1.0756070067728467E-01 a       173     0    15     1     5
  1.9085591910809054E+00 a       174     0    15     1     6
  3.2780849485141667E-01 a       175     0    15     1     7
 -2.0717561467945422E-01 a       176     0    15     1     8
  4.7716783242568180E-02 a       177     0    15     1     9
  2.6078373240386005E-01 a       178     0    15     1    10
 -3.4244961890149239E-01 a       179     0    15     1    11
 -3.8473337347991449E-01 a       180     0    15     1    12
 -2.3531544923250100E-01 a       181     0    16     1     1
 -3.1436816347154517E-01 a       182     0    16     1     2
  4.8880912221666950E-01 a       183     0    16     1     3
 -1.9921396119020281E-02 a       184     0    16     1     4
  3.1445642851281247E-01 a       185     0    16     1     5
 -4.6144464990883810E-01 a       186     0    16     1     6
 -3.6101440796328793E-01 a       187     0    16     1     7
  5.8365564091679878E-01 a       188     0    16     1     8
  1.4578612694551496E+00 a       189     0    16     1     9
  8.9617207550094960E-02 a       190     0    16     1    10
 -1.7092353608182063E+00 a       191     0    16     1    11
  4.5153583670411357E-01 a       192     0    16     1    12
 -2.0934826329359987E-01 a       193     0    17     1     1
  1.2451557305448939E-01 a       194     0    17     1     2
 -1.1139523296291400E-02 a       195     0    17     1     3
 -1.4213714768014034E+00 a       196     0    17     1     4
  7.2287315983279188E-01 a       197     0    17     1     5
  1.0375020420498211E+00 a       198     0    17     1     6
 -1.6872849872810773E+00 a       199     0    17     1     7
  1.0031748323185893E-01 a       200     0    17     1     8
 -8.6230923039670934E-02 a       201     0    17     1     9
 -6.1790505142200225E-01 a       202     0    17     1    10
  7.2453235554206341E-01 a       203     0    17     1    11
  4.3055479655288603E-01 a       204     0    17     1    12
 -7.6798255163289930E-01 a       205     0    18     1     1
 -4.1341629652700856E-01 a       206     0    18     1     2
  2.9300321467015247E-02 a       207     0    18     1     3
  2.7023651447944563E-01 a       208     0    18     1     4
  1.3054607243303262E+00 a       209     0    18     1     5
 -1.1687327188615793E+00 a       210     0    18     1     6
  2.6166568370246784E-01 a       211     0    18     1     7
  7.9967745077895447E-01 a       212     0    18     1     8
 -7.8985187259905465E-01 a       213     0    18     1     9
 -3.9446760394141284E-01 a       214     0    18     1    10
 -2.7237267727518055E-01 a       215     0    18     1    11
  1.2640605561777936E+00 a       216     0    18     1    12
  1.0543498073167504E-01 a       217     0    19     1     1
  6.3632274566364511E-01 a       218     0    19     1     2
 -6.0778771901697581E-01 a       219     0    19     1     3
 -7.3677363588404621E-01 a       220     0    19     1     4
  2.7804288781304054E-01 a       221     0    19     1     5
 -1.4187604543781407E+00 a       222     0    19     1     6
 -8.1122931961556555E-01 a       223     0    19     1     7
  3.6978156973435133E-01 a       224     0    19     1     8
  9.5645030706782014E-02 a       225     0    19     1     9
 -3.1286586526634252E-01 a       226     0    19     1    10
  1.9549068987704785E-01 a       227     0    19     1    11
  7.9083610317889086E-01 a       228     0    19     1    12
 -2.3034083303228309E-01 a       229     0    20     1     1
  6.8339051458959257E-02 a       230     0    20     1     2
 -3.9164247749695830E-01 a       231     0    20     1     3
  8.3350044558553188E-02 a       232     0    20     1     4
 -3.8078510229436154E-02 a       233     0    20     1     5
 -5.7484719738780521E-01 a       234     0    20     1     6
  8.7578981836264624E-01 a       235     0    20     1     7
  3.4424925935069001E-01 a       236     0    20     1     8
 -1.8519524942286341E+00 a       237     0    20     1     9
 -7.0733241113381340E-01 a       238     0    20     1    10
  1.4019483330783975E+00 a       239     0    20     1    11
  3.5535170116326048E-01 a       240     0    20     1    12
  4.2793739728634306E-01 a       241     0    21     1     1
  1.9132117054798389E-02 a       242     0    21     1     2
  7.6493654929922572E-01 a       243     0    21     1     3
  7.7679148358708761E-01 a       244     0    21     1     4
 -5.2466562445728337E-01 a       245     0    21     1     5
 -1.4433571704654966E+00 a       246     0    21     1     6
  1.2794264473485719E+00 a       247     0    21     1     7
  2.7994988592037395E-01 a       248     0    21     1     8
  2.3787341228132727E-01 a       249     0    21     1     9
  2.7372973291120617E-01 a       250     0    21     1    10
 -7.3130613086675733E-01 a       251     0    21     1    11
 -1.3047777651709316E-01 a       252     0    21     1    12
  3.8994259138576942E-01 a       253     0    22     1     1
  3.5204149798936774E-01 a       254     0    22     1     2
  6.1994552131745005E-02 a       255     0    22     1     3
 -4.0138101214511074E-01 a       256     0    22     1     4
 -1.3821005148628052E+00 a       257     0    22     1     5
  4.1702675219327406E-01 a       258     0    22     1     6
  6.1315129959936132E-01 a       259     0    22     1     7
 -2.6924697163776479E-02 a       260     0    22     1     8
  3.0886900610028045E-01 a       261     0    22     1     9
 -9.4624203388713954E-02 a       262     0    22     1    10
  3.4568655647299318E-01 a       263     0    22     1    11
 -8.9644783934685901E-01 a       264     0    22     1    12
 -2.5443177298287456E-01 a       265     0    23     1     1
 -6.8935948280682580E-01 a       266     0    23     1     2
  1.7359541521147437E+00 a       267     0    23     1     3
  4.7716845479125364E-01 a       268     0    23     1     4
 -3.6325438862325032E-01 a       269     0    23     1     5
  5.4306829814113911E-01 a       270     0    23     1     6
  4.9172350219352584E-01 a       271     0    23     1     7
 -1.3795250652082255E-01 a       272     0    23     1     8
  7.2187921277769407E-02 a       273     0    23     1     9
  3.8535318368344229E-01 a       274     0    23     1    10
 -1.7982097350613480E-01 a       275     0    23     1    11
 -7.5886526038998348E-01 a       276     0    23     1    12
  5.1534323868884804E-02 a       277     0    24     1     1
  3.7043511687864877E-01 a       278     0    24     1     2
  3.8825628600580930E-01 a       279     0    24     1     3
 -2.5466042996057047E-02 a       280     0    24     1     4
 -6.1771740617848703E-01 a       281     0    24     1     5
  1.4021816098814342E-02 a       282     0    24     1     6
 -2.0727791593467471E-01 a       283     0    24     1     7
  2.7843879113840005E-02 a       284     0    24     1     8
  9.9934716718210459E-01 a       285     0    24     1     9
  1.7620509242546145E-01 a       286     0    24     1    10
 -9.1365646843570636E-01 a       287     0    24     1    11
 -1.3302519980131228E-01 a       288     0    24     1    12
 -4.9667427287830651E-01 a       289     0    25     1     1
  3.9824305264176629E-01 a       290     0    25     1     2
  1.0918843507595666E+00 a       291     0    25     1     3
 -4.6971239208787186E-01 a       292     0    25     1     4
  3.1416023881111499E-01 a       293     0    25     1     5
  6.0908708920032462E-01 a       294     0    25     1     6
 -1.0424038782747678E+00 a       295     0    25     1     7
 -2.8423863973594293E-01 a       296     0    25     1     8
  1.7225374879645375E-01 a       297     0    25     1     9
 -1.1557916710819509E-01 a       298     0    25     1    10
  3.5976811848968260E-01 a       299     0    25     1    11
 -4.0125321191909844E-04 a       300     0    25     1    12
 -1.8644139538517540E-01 a       301     0    26     1     1
  1.9273578109176320E-01 a       302     0    26     1     2
 -2.5465133738985551E-01 a       303     0    26     1     3
 -3.0842102737677485E-02 a       304     0    26     1     4
  2.9165355857232800E-01 a       305     0    26     1     5
 -5.1308649843099363E-01 a       306     0    26     1     6
 -3.3880976612699842E-01 a       307     0    26     1     7
  2.4495495505009982E-01 a       308     0    26     1     8
 -1.7972731008691054E-01 a       309     0    26     1     9
 -5.4699695319200083E-02 a       310     0    26     1    10
 -6.1770778066657062E-01 a       311     0    26     1    11
  3.4269539689037412E-02 a       312     0    26     1    12
  9.5177143136184306E-02 a       313     0    27     1     1
  4.2174504979735389E-01 a       314     0    27     1     2
  3.5098859048512665E-01 a       315     0    27     1     3
 -8.0816193763960820E-02 a       316     0    27     1     4
  1.2922522000896422E-02 a       317     0    27     1     5
 -4.9214319693673947E-01 a       318     0    27     1     6
 -2.2795853039567537E-01 a       319     0    27     1     7
 -9.4993523002459765E-03 a       320     0    27     1     8
 -1.4944864676628863E-01 a       321     0    27     1     9
 -1.9125719194023347E-01 a       322     0    27     1    10
 -2.7168325028856061E-01 a       323     0    27     1    11
  4.9436912374335273E-01 a       324     0    27     1    12
 -1.8433590138171788E-01 a       325     0    28     1     1
  2.6877192106770312E-02 a       326     0    28     1     2
 -7.3511268176858505E-02 a       327     0    28     1     3
  1.2788008253511629E-01 a       328     0    28     1     4
  1.6096488995821676E-01 a       329     0    28     1     5
 -4.8896027641864785E-02 a       330     0    28     1     6
 -4.7163833333458799E-01 a       331     0    28     1     7
  3.6595757800065198E-01 a       332     0    28     1     8
 -3.2303184477764330E-01 a       333     0    28     1     9
 -3.2119885561952876E-03 a       334     0    28     1    10
 -1.5550415670203105E-02 a       335     0    28     1    11
  2.3928953567749700E-01 a       336     0    28     1    12
 -9.0600224477386717E-03 a       337     0    29     1     1
 -6.3197674775772067E-02 a       338     0    29     1     2
  7.0031435788985863E-01 a       339     0    29     1     3
 -1.1750007111042177E-01 a       340     0    29     1     4
 -4.9519163602958716E-02 a       341     0    29     1     5
  1.4553098809566803E-01 a       342     0    29     1     6
  1.8063078665886911E-01 a       343     0    29     1     7
 -1.8803859829065531E-02 a       344     0    29     1     8
  8.2622001239337235E-03 a       345     0    29     1     9
  5.2101160577864555E-02 a       346     0    29     1    10
 -2.6662133037553110E-01 a       347     0    29     1    11
  1.0544412341708306E-01 a       348     0    29     1    12
 -4.8056912562910975E-02 a       349     0    30     1     1
 -1.3025539615156873E-01 a       350     0    30     1     2
  4.7559474110660159E-02 a       351     0    30     1     3
 -1.7587630344090688E-01 a       352     0    30     1     4
 -2.7596907253581437E-01 a       353     0    30     1     5
 -4.1867517833744594E-01 a       354     0    30     1     6
  5.6040065643911385E-01 a       355     0    30     1     7
  2.6863546681878808E-01 a       356     0    30     1     8
 -5.7970253101735925E-01 a       357     0    30     1     9
  1.0204390425976732E-01 a       358     0    30     1    10
  1.1156386781753842E-01 a       359     0    30     1    11
  3.5206545616574059E-01 a       360     0    30     1    12
  5.7090091859506842E-01 a       361     0    31     1     1
 -1.4024921986983482E-01 a       362     0    31     1     2
 -1.3705432483733518E-01 a       363     0    31     1     3
  4.5553529047416874E-01 a       364     0    31     1     4
 -1.9392233636119599E-01 a       365     0    31     1     5
  3.7981717419910611E-02 a       366     0    31     1     6
  1.2584662996310437E-02 a       367     0    31     1     7
  3.5105368920133201E-01 a       368     0    31     1     8
  1.2071697679853877E-01 a       369     0    31     1     9
  1.4529281489759981E-02 a       370     0    31     1    10
 -2.4727456808679502E-01 a       371     0    31     1    11
 -2.4195840127503207E-01 a       372     0    31     1    12
 -9.4594703507163602E-01 a       373     0    32     1     1
  2.8247272186111316E-01 a       374     0    32     1     2
 -7.7294206979937952E-01 a       375     0    32     1     3
  3.1077115199446609E-01 a       376     0    32     1     4
 -9.2217070634110954E-01 a       377     0    32     1     5
 -8.2938696755749952E-01 a       378     0    32     1     6
  6.8984547387594553E-01 a       379     0    32     1     7
  5.8083747786203932E-01 a       380     0    32     1     8
  3.1928641294138982E-01 a       381     0    32     1     9
 -6.1368748914658167E-01 a       382     0    32     1    10
